word,meaning
torture,を拷問にかける；を苦しめる
cram,に詰め込む；詰め込み勉強をする
induce,を引き起こす；を説得する
depict,を描く
sophisticated,高性能の，精巧な；洗練された
triumph,勝利；勝利の喜び；偉業
scarce,乏しい；珍しい
withdraw,を引き出す；を撤回する；撤退する
indigenous,原産の，先住の；（その土地に）固有の
faith,（～への）信頼（in）；信仰（心）
nerve,神経；〔～s〕神経過敏；（...する）度胸（to do）
skeleton,骨格；骨組み；概略
spill,をこぼす；こぼれる
hygiene,衛生（状態）；健康法
threat,脅威；（悪い）兆し；脅迫
manipulate,を（巧みに）操る；を改ざんする
commodity,商品；有用なもの
acute,（痛み・感情などが）激しい；（知覚などが）鋭い；急性の（⇔ chronic ⇒ 1198）
magnificent,壮大な；見事な
admire,に（～のことで）敬服［感心］する（for）
terrify,を怖がらせる；を脅かす
chaos,混沌，大混乱
priest,聖職者
restrict,を制限する
supreme,最高の
remark,と述べる；（～について）意見を述べる（on / upon）
tide,潮（の干満）；動向
prescribe,（薬など）を処方する；を規定する
discrimination,（～に対する）差別（against）；区別
interrupt,を中断させる；（の）邪魔をする
inquire,（を）尋ねる
ward,行政区；病棟
eager,（～を）熱望して（for）；熱心な
intrigue,に興味を持たせる；陰謀を企てる
clarify,を明確にする
inclined,傾向がある；傾いた
contaminate,を汚染する；を堕落させる
ratio,比率
